Column1,State,Year,Source,ItemNum,LineItem,Amount
1,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,a,Cash Receipts,6160393
2,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,b,Cash Disbursements,0
3,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,c,Cash on Hand,6160393
4,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,d,Total Federal funds authorized,6160393
5,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,e,Federal share of expenditures,0
6,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,f,Federal share of unliquidated obligations,0
7,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,g,Total Federal share,0
8,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,h,Unobligated balance of Federal funds,6160393
24,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,i,Total recipient share required,1627783
10,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,j,Recipient share of expenditures,9899.301
11,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,k,Remaining recipient share to be provided,298120.701
12,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,l,Total Federal program income earned,0
13,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,m,Program income expended in accordance with the deduction alternative,0
14,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,n,Program income expended in accordance with the addition alternative,0
15,AL,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AL2018%5B101ES%5D%2BNarr.pdf,o,Unexpended program income,0
16,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,a,Cash Receipts,0
17,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,b,Cash Disbursements,0
18,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,c,Cash on Hand,0
19,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,d,Total Federal funds authorized,3000000
20,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,e,Federal share of expenditures,0
21,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,f,Federal share of unliquidated obligations,0
22,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,g,Total Federal share,0
23,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,h,Unobligated balance of Federal funds,3.00E+06
849,AK,2019,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/AK2019%5B101ES%5D%20FFR%2BNarr.pdf,i,Total recipient share required,1679395
25,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,j,Recipient share of expenditures,0
26,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,k,Remaining recipient share to be provided,1627783
27,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,l,Total Federal program income earned,10578
28,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,m,Program income expended in accordance with the deduction alternative,0
29,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,n,Program income expended in accordance with the addition alternative,0
30,AK,2018,https://www.eac.gov/sites/default/files/paymentgrants/Election%20Security/Alaska2018ES_FFR.pdf,o,Unexpended program income,10578
31,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,a,Cash Receipts,4475015
32,AR,2018,https://www.eac.gov/sites/default/files/havaffr/Arkansas2018ES_FFR.pdf,b,Cash Disbursements,4456168
