state_abbv,n_abs_nonret,n_abs_rej_all_ballots,n_eavs_completeness,n_nonvoter_illness_pct,n_nonvoter_reg_pct,n_online_reg,n_pct_reg_of_vep_vrs,n_post_election_audit,n_prov_partic,n_prov_rej_all,n_reg_rej,n_uocava_nonret,n_uocava_rej,n_vep_turnout,n_wait,n_website,state,index
AK,0.67971,0.8025976,1,0.5381097,0.8428298,1,0.8426379,1,0.5937816,0.5841357,0.8447416,0.8302089,0.9008784,0.7318968,0.8072042,0.8,Alaska,0.79992074
AL,0.8302698,0.9395407,0.9899132,0.133357,0.5289513,1,0.9050401,0,0.953796,0.7989552,0.9731766,0.6457277,0.9497218,0.5276723,0.528832,1,Alabama,0.73155963
AR,0.7892134,0.8875853,0.5757427,0.2777512,0.7576534,0,0.5575606,0,,,,,,0.3631594,0.4830812,0.6,Arkansas,0.48106793
AZ,,0.7201045,0.9776692,0.7724258,0.5274467,1,0.6602792,1,0.8096324,0.4188013,0.8730617,0.6276098,0.9723721,0.5774106,0.839783,0.8,Arizona,0.7717731
CA,,0.1241815,0.9873053,0.6469913,0.720947,1,0.6342945,1,0.3132485,0,0.7228904,0.2863068,0.7218378,0.5917492,0.7249274,0.8,California,0.61831194
CO,,0.4450651,1,0.8754503,0.5215712,1,0.9101304,1,0.9984079,0.9874265,0.8995649,0.4893722,0.9189966,0.9639174,0.893348,1,Colorado,0.86021674
CT,0.8158743,0.909157,0.7007975,0.3079379,0.7430488,1,0.7197353,1,0.9999132,0.9997355,,,0.9549736,0.7255242,0.7050149,0.8,Connecticut,0.81297946
DC,0.5231497,0.8927221,1,0.44612,0.3159951,1,1,1,0.9084359,0.4195118,0.9223315,0.4436052,0.8893408,0.4288826,0.2093972,1,District of Columbia,0.71246827
DE,0.6376067,0.8557985,1,0.3588154,0.8432696,1,0.7367579,1,0.9972336,0.9725634,0.9893016,0.5751649,0.9460076,0.6433385,0.728996,1,Delaware,0.83030337
FL,0.5040079,0.7195575,0.9945688,0.490878,0.7409908,1,0.8412983,1,0.9855886,0.905254,0.8315356,0.4660604,0.7397693,0.7408326,0.6315466,0.6,Florida,0.76199299
GA,0.7324903,0.857685,0.9995102,0.2455908,0.6254135,1,0.7385449,0,0.9517956,0.7693235,0.9959298,0.6294432,0.7777163,0.7431645,0,0.8,Georgia,0.67916298
HI,0.5812419,0.4017835,0.5892362,0.6018592,0.4873646,1,0.256536,1,0.9797408,0.9005086,,,0.9558519,0.3052113,0.7318504,0.8,Hawaii,0.68508458
IA,0.8185323,0.7139437,0.9989092,0.8044359,0.7614257,1,0.8858801,1,0.932969,0.9428713,0.9958985,0.7375549,0.9103453,0.8177596,0.8346505,0.6,Iowa,0.85969853
ID,0.8811407,0.8548054,0.8407241,0.4780849,0.9864955,1,0.302115,0,1,1,,0.761894,0.7413368,0.6040654,0.593727,0.75,Idaho,0.71962589
IL,0.6903448,0.8564477,0.737887,0.4388863,0.8280831,1,0.8335537,1,0.9643044,0.8626243,,,,0.6422602,0.6315228,0.6,Illinois,0.77583957
