Year,State,Government_Function,Full_Time_Employment,Full_Time_Payroll
2019,US,Total - All Government Employment Functions,3880855,22303433706
2019,US,Financial Administration,166493,913402198
2019,US,Other Government Administration,49261,273183265
2019,US,Judicial and Legal,173730,1074134198
2019,US,Police Protection Total,103961,694989062
2019,US,Police Protection - Persons with Power of Arrest,66763,515030936
2019,US,Police Protection - Other,37198,179958126
2019,US,Fire Protection Total,0,0
2019,US,Fire Protection - Firefighters,0,0
2019,US,Fire Protection - Other,0,0
2019,US,Corrections,433480,2208275898
2019,US,Highways,205625,1115617487
2019,US,Air Transportation,3184,20343536
2019,US,Sea and Inland Port Facilities,4623,30689961
2019,US,Public Welfare,244177,1072584036
2019,US,Health,184097,931926498
2019,US,Hospitals,361781,1968274675
2019,US,Social Insurance Administration,61120,311098008
2019,US,Solid Waste Management,2109,13089993
2019,US,Sewerage,1647,11954190
2019,US,Parks and Recreation,30383,122907818
2019,US,Housing and Community Development,1524,10078357
2019,US,Natural Resources,117976,613461222
2019,US,Water Supply,707,4568539
2019,US,Electric Power,4172,35084432
2019,US,Gas Supply,0,0
2019,US,Transit,38351,288605395
2019,US,Education Total,1519259,9643361033
2019,US,Education - Elementary and Secondary Total,42230,235960860
2019,US,Education - Elementary and Secondary Instructional,31206,190056405
2019,US,Education - Elementary and Secondary Other,11024,45904455
2019,US,Education - Higher Education Total,1404233,9030289186
2019,US,Education - Higher Education Instructional,450483,3949788869
2019,US,Education - Higher Education Other,953750,5080500317
2019,US,Education - Other,72796,377110987
2019,US,Libraries,603,2324056
2019,US,State liquor stores,6801,26630483
2019,US,All other and unallocable,165791,916849366
2019,AL,Total - All Government Employment Functions,81210,407316649
2019,AL,Financial Administration,1997,9951890
2019,AL,Other Government Administration,544,3172522
2019,AL,Judicial and Legal,3054,16538627
2019,AL,Police Protection Total,1467,7858087
2019,AL,Police Protection - Persons with Power of Arrest,728,3623070
2019,AL,Police Protection - Other,739,4235017
2019,AL,Fire Protection Total,0,0
2019,AL,Fire Protection - Firefighters,0,0
2019,AL,Fire Protection - Other,0,0
2019,AL,Corrections,4116,20012816
