State,Year,Party
AL,2021,Republican
AK,2021,Republican
AS,2021,Democrat
AZ,2021,Republican
AR,2021,Republican
CA,2021,Democrat
CO,2021,Democrat
CT,2021,Democrat
DE,2021,Democrat
FL,2021,Republican
GA,2021,Republican
GU,2021,Democrat
HI,2021,Democrat
ID,2021,Republican
IL,2021,Democrat
IN,2021,Republican
IA,2021,Republican
KS,2021,Democrat
KY,2021,Democrat
LA,2021,Democrat
ME,2021,Democrat
MD,2021,Republican
MA,2021,Republican
MI,2021,Democrat
MN,2021,Democrat
MS,2021,Republican
MO,2021,Republican
MT,2021,Republican
NE,2021,Republican
NV,2021,Democrat
NH,2021,Republican
NJ,2021,Democrat
NM,2021,Democrat
NY,2021,Democrat
NC,2021,Democrat
ND,2021,Republican
OH,2021,Republican
OK,2021,Republican
OR,2021,Democrat
PA,2021,Democrat
PR,2021,New Progressive
RI,2021,Democrat
SC,2021,Republican
SD,2021,Republican
TN,2021,Republican
TX,2021,Republican
UT,2021,Republican
VT,2021,Republican
VA,2021,Democrat
WA,2021,Democrat
WV,2021,Republican
WI,2021,Democrat
WY,2021,Republican
CM,2021,Republican
VI,2021,Democrat
DC,2021,Democrat
AL,2020,Republican
AK,2020,Republican
AS,2020,Democrat
AZ,2020,Republican
AR,2020,Republican
CA,2020,Democrat
CO,2020,Democrat
CT,2020,Democrat
DE,2020,Democrat
FL,2020,Republican
GA,2020,Republican
GU,2020,Democrat
HI,2020,Democrat
ID,2020,Republican
IL,2020,Democrat
IN,2020,Republican
IA,2020,Republican
KS,2020,Democrat
KY,2020,Democrat
LA,2020,Democrat
ME,2020,Democrat
MD,2020,Republican
MA,2020,Republican
MI,2020,Democrat
MN,2020,Democrat
MS,2020,Republican
MO,2020,Republican
MT,2020,Democrat
NE,2020,Republican
NV,2020,Democrat
NH,2020,Republican
NJ,2020,Democrat
NM,2020,Democrat
NY,2020,Democrat
NC,2020,Democrat
ND,2020,Republican
OH,2020,Republican
OK,2020,Republican
OR,2020,Democrat
PA,2020,Democrat
PR,2020,New Progressive
RI,2020,Democrat
SC,2020,Republican
SD,2020,Republican
TN,2020,Republican
TX,2020,Republican
UT,2020,Republican
VT,2020,Republican
VA,2020,Democrat
WA,2020,Democrat
WV,2020,Republican
WI,2020,Democrat
WY,2020,Republican
CM,2020,Republican
VI,2020,Democrat
DC,2020,Democrat
AL,2019,Republican
AK,2019,Republican
AS,2019,Democrat
AZ,2019,Republican
AR,2019,Republican
CA,2019,Democrat
CO,2019,Democrat
CT,2019,Democrat
DE,2019,Democrat
FL,2019,Republican
GA,2019,Republican
GU,2019,Democrat
HI,2019,Democrat
ID,2019,Republican
IL,2019,Democrat
IN,2019,Republican
IA,2019,Republican
KS,2019,Democrat
KY,2019,Democrat
LA,2019,Democrat
ME,2019,Democrat
MD,2019,Republican
MA,2019,Republican
MI,2019,Democrat
MN,2019,Democrat
MS,2019,Republican
MO,2019,Republican
MT,2019,Democrat
NE,2019,Republican
NV,2019,Democrat
NH,2019,Republican
NJ,2019,Democrat
NM,2019,Democrat
NY,2019,Democrat
NC,2019,Democrat
ND,2019,Republican
OH,2019,Republican
OK,2019,Republican
OR,2019,Democrat
PA,2019,Democrat
PR,2019,New Progressive
RI,2019,Democrat
SC,2019,Republican
SD,2019,Republican
TN,2019,Republican
TX,2019,Republican
UT,2019,Republican
VT,2019,Republican
VA,2019,Democrat
WA,2019,Democrat
WV,2019,Republican
WI,2019,Democrat
WY,2019,Republican
CM,2019,Republican
VI,2019,Democrat
DC,2019,Democrat
AL,2018,Republican
AK,2018,Republican
AS,2018,Democrat
AZ,2018,Republican
AR,2018,Republican
CA,2018,Democrat
CO,2018,Democrat
CT,2018,Democrat
DE,2018,Democrat
FL,2018,Republican
GA,2018,Republican
GU,2018,Democrat
HI,2018,Democrat
ID,2018,Republican
IL,2018,Republican
IN,2018,Republican
IA,2018,Republican
KS,2018,Republican
KY,2018,Republican
LA,2018,Democrat
ME,2018,Republican
MD,2018,Republican
MA,2018,Republican
MI,2018,Republican
MN,2018,Democrat
MS,2018,Republican
MO,2018,Republican
MT,2018,Democrat
NE,2018,Republican
NV,2018,Republican
NH,2018,Republican
NJ,2018,Democrat
NM,2018,Republican
NY,2018,Democrat
NC,2018,Democrat
ND,2018,Republican
OH,2018,Republican
OK,2018,Republican
OR,2018,Democrat
PA,2018,Democrat
PR,2018,New Progressive
RI,2018,Democrat
SC,2018,Republican
SD,2018,Republican
TN,2018,Republican
TX,2018,Republican
UT,2018,Republican
VT,2018,Republican
VA,2018,Democrat
WA,2018,Democrat
WV,2018,Republican
WI,2018,Republican
WY,2018,Republican
CM,2018,Republican
VI,2018,Independent
DC,2018,Democrat
