Year,State,Item,Amount
2018,AK,Federal_Funds_Authorized,3000000
2018,AK,State_Matching_Required,150000
2018,AK,Total_Fed_Plus_State_Funds,3150000
2018,AL,Federal_Funds_Authorized,6160393
2018,AL,State_Matching_Required,308019.65
2018,AL,Total_Fed_Plus_State_Funds,6468412.65
2018,AR,Federal_Funds_Authorized,4475015
2018,AR,State_Matching_Required,223750.75
2018,AR,Total_Fed_Plus_State_Funds,4698765.75
2018,AS,Federal_Funds_Authorized,600000
2018,AS,State_Matching_Required,0
2018,AS,Total_Fed_Plus_State_Funds,600000
2018,AZ,Federal_Funds_Authorized,7463675
2018,AZ,State_Matching_Required,373183.75
2018,AZ,Total_Fed_Plus_State_Funds,7836858.75
2018,CA,Federal_Funds_Authorized,34558874
2018,CA,State_Matching_Required,1727943.7
2018,CA,Total_Fed_Plus_State_Funds,36286817.7
2018,CO,Federal_Funds_Authorized,6342979
2018,CO,State_Matching_Required,317148.95
2018,CO,Total_Fed_Plus_State_Funds,6660127.95
2018,CT,Federal_Funds_Authorized,5120554
2018,CT,State_Matching_Required,256027.7
2018,CT,Total_Fed_Plus_State_Funds,5376581.7
2018,DC,Federal_Funds_Authorized,3000000
2018,DC,State_Matching_Required,150000
2018,DC,Total_Fed_Plus_State_Funds,3150000
2018,DE,Federal_Funds_Authorized,3000000
2018,DE,State_Matching_Required,150000
2018,DE,Total_Fed_Plus_State_Funds,3150000
2018,FL,Federal_Funds_Authorized,19187003
2018,FL,State_Matching_Required,959350.15
2018,FL,Total_Fed_Plus_State_Funds,20146353.15
2018,GA,Federal_Funds_Authorized,10305783
2018,GA,State_Matching_Required,515289.15
2018,GA,Total_Fed_Plus_State_Funds,10821072.15
2018,GU,Federal_Funds_Authorized,600000
2018,GU,State_Matching_Required,0
2018,GU,Total_Fed_Plus_State_Funds,600000
2018,HI,Federal_Funds_Authorized,3134080
2018,HI,State_Matching_Required,156704
2018,HI,Total_Fed_Plus_State_Funds,3290784
2018,IA,Federal_Funds_Authorized,4608084
2018,IA,State_Matching_Required,230404.2
2018,IA,Total_Fed_Plus_State_Funds,4838488.2
2018,ID,Federal_Funds_Authorized,3229896
2018,ID,State_Matching_Required,161494.8
2018,ID,Total_Fed_Plus_State_Funds,3391390.8
2018,IL,Federal_Funds_Authorized,13232290
2018,IL,State_Matching_Required,661614.5
2018,IL,Total_Fed_Plus_State_Funds,13893904.5
2018,IN,Federal_Funds_Authorized,7595088
2018,IN,State_Matching_Required,379754.4
2018,IN,Total_Fed_Plus_State_Funds,7974842.4
2018,KS,Federal_Funds_Authorized,4383595
2018,KS,State_Matching_Required,219179.75
2018,KS,Total_Fed_Plus_State_Funds,4602774.75
2018,KY,Federal_Funds_Authorized,5773423
2018,KY,State_Matching_Required,288671.15
2018,KY,Total_Fed_Plus_State_Funds,6062094.15
2018,LA,Federal_Funds_Authorized,5889487
2018,LA,State_Matching_Required,294474.35
2018,LA,Total_Fed_Plus_State_Funds,6183961.35
2018,MA,Federal_Funds_Authorized,7890854
2018,MA,State_Matching_Required,394542.7
2018,MA,Total_Fed_Plus_State_Funds,8285396.7
2018,MD,Federal_Funds_Authorized,7063699
2018,MD,State_Matching_Required,353184.95
2018,MD,Total_Fed_Plus_State_Funds,7416883.95
2018,ME,Federal_Funds_Authorized,3130979
2018,ME,State_Matching_Required,156548.95
2018,ME,Total_Fed_Plus_State_Funds,3287527.95
2018,MI,Federal_Funds_Authorized,10706992
2018,MI,State_Matching_Required,535349.6
2018,MI,Total_Fed_Plus_State_Funds,11242341.6
2018,MN,Federal_Funds_Authorized,6595610
2018,MN,State_Matching_Required,329780.5
2018,MN,Total_Fed_Plus_State_Funds,6925390.5
2018,MO,Federal_Funds_Authorized,7230625
2018,MO,State_Matching_Required,361531.25
2018,MO,Total_Fed_Plus_State_Funds,7592156.25
2018,MS,Federal_Funds_Authorized,4483541
2018,MS,State_Matching_Required,224177.05
2018,MS,Total_Fed_Plus_State_Funds,4707718.05
2018,MT,Federal_Funds_Authorized,3000000
2018,MT,State_Matching_Required,150000
2018,MT,Total_Fed_Plus_State_Funds,3150000
2018,NC,Federal_Funds_Authorized,10373237
2018,NC,State_Matching_Required,518661.85
2018,NC,Total_Fed_Plus_State_Funds,10891898.85
2018,ND,Federal_Funds_Authorized,3000000
2018,ND,State_Matching_Required,150000
2018,ND,Total_Fed_Plus_State_Funds,3150000
2018,NE,Federal_Funds_Authorized,3496936
2018,NE,State_Matching_Required,174846.8
2018,NE,Total_Fed_Plus_State_Funds,3671782.8
2018,NH,Federal_Funds_Authorized,3102253
2018,NH,State_Matching_Required,155112.65
2018,NH,Total_Fed_Plus_State_Funds,3257365.65
2018,NJ,Federal_Funds_Authorized,9757450
2018,NJ,State_Matching_Required,487872.5
2018,NJ,Total_Fed_Plus_State_Funds,10245322.5
2018,NM,Federal_Funds_Authorized,3699470
2018,NM,State_Matching_Required,184973.5
2018,NM,Total_Fed_Plus_State_Funds,3884443.5
2018,NV,Federal_Funds_Authorized,4277723
2018,NV,State_Matching_Required,213886.15
2018,NV,Total_Fed_Plus_State_Funds,4491609.15
2018,NY,Federal_Funds_Authorized,19483647
2018,NY,State_Matching_Required,974182.35
2018,NY,Total_Fed_Plus_State_Funds,20457829.35
2018,OH,Federal_Funds_Authorized,12186021
2018,OH,State_Matching_Required,609301.05
2018,OH,Total_Fed_Plus_State_Funds,12795322.05
2018,OK,Federal_Funds_Authorized,5196017
2018,OK,State_Matching_Required,259800.85
2018,OK,Total_Fed_Plus_State_Funds,5455817.85
2018,OR,Federal_Funds_Authorized,5362981
2018,OR,State_Matching_Required,268149.05
2018,OR,Total_Fed_Plus_State_Funds,5631130.05
2018,PA,Federal_Funds_Authorized,13476156
2018,PA,State_Matching_Required,673807.8
2018,PA,Total_Fed_Plus_State_Funds,14149963.8
2018,PR,Federal_Funds_Authorized,3676962
2018,PR,State_Matching_Required,183848.1
2018,PR,Total_Fed_Plus_State_Funds,3860810.1
2018,RI,Federal_Funds_Authorized,3000000
2018,RI,State_Matching_Required,150000
2018,RI,Total_Fed_Plus_State_Funds,3150000
2018,SC,Federal_Funds_Authorized,6040794
2018,SC,State_Matching_Required,302039.7
2018,SC,Total_Fed_Plus_State_Funds,6342833.7
2018,SD,Federal_Funds_Authorized,3000000
