State,covid_deaths,Year
AK,198,2020
AL,4827,2020
AR,3676,2020
AZ,8879,2020
CA,25965,2020
CM,2,2020
CO,4879,2020
CT,5995,2020
DC,786,2020
DE,926,2020
FL,21672,2020
GA,10588,2020
GU,123,2020
HI,286,2020
IA,3891,2020
ID,1438,2020
IL,17979,2020
IN,8263,2020
KS,2741,2020
KY,2956,2020
LA,7488,2020
MA,12423,2020
MD,5895,2020
ME,347,2020
MI,13010,2020
MN,5382,2020
MO,5887,2020
MS,4787,2020
MT,962,2020
NC,6811,2020
ND,1299,2020
NE,1690,2020
NH,759,2020
NJ,19042,2020
NM,2479,2020
NV,3136,2020
NY,37557,2020
OH,8962,2020
OK,2489,2020
OR,1485,2020
PA,16020,2020
PR,1503,2020
RI,1777,2020
SC,5296,2020
SD,1488,2020
TN,6846,2020
TX,28155,2020
UT,1270,2020
VA,5032,2020
VI,23,2020
VT,136,2020
WA,3523,2020
WI,5245,2020
WV,1338,2020
WY,438,2020
AK,954,2021
AL,16455,2021
AR,9148,2021
AS,0,2021
AZ,24229,2021
CA,76709,2021
CM,13,2021
CO,10480,2021
CT,9160,2021
DC,1211,2021
DE,2286,2021
FL,62504,2021
GA,30283,2021
GU,271,2021
HI,1087,2021
IA,7858,2021
ID,4163,2021
IL,31017,2021
IN,19037,2021
KS,7030,2021
KY,12149,2021
LA,14986,2021
MA,20273,2021
MD,11758,2021
ME,1531,2021
MI,28984,2021
MN,10656,2021
MO,16223,2021
MS,10450,2021
MT,2907,2021
NC,19436,2021
ND,2057,2021
NE,3336,2021
NH,1961,2021
NJ,29037,2021
NM,5857,2021
NV,8420,2021
NY,58993,2021
OH,29447,2021
OK,11552,2021
OR,5655,2021
PA,36705,2021
PR,3305,2021
RI,3066,2021
SC,14636,2021
SD,2486,2021
TN,20640,2021
TX,76062,2021
UT,3787,2021
VA,15587,2021
VI,89,2021
VT,471,2021
WA,9904,2021
WI,11173,2021
WV,5336,2021
WY,1526,2021
